manufacturer,model,year,price,kbb_price,price_difference,risk_score_M3
gmc,Terrain,2015,8495,8044.0,451.0,0.01
ford,Edge,2012,5900,6967.0,1067.0,0.3775291856535299
ford,F250,2017,42897,19359.0,23538.0,0.01
ford,F250,2014,39995,13316.0,26679.0,0.01
ford,F250,2014,33885,13316.0,20569.0,0.01
bmw,X5,2012,9500,8171.0,1329.0,0.01
ford,F150,2015,27990,12775.0,15215.0,0.01
ford,F350,2020,49999,40517.0,9482.0,0.01
ford,F250,2014,28885,13316.0,15569.0,0.01
ford,F150 SuperCrew Cab,2016,40000,17554.0,22446.0,0.01
ford,F250,2016,42995,16291.0,26704.0,0.01
ford,F150,2015,27999,12775.0,15224.0,0.01
ford,F250,2017,43850,19359.0,24491.0,0.01
ford,F150,2013,18995,10582.0,8413.0,0.01
chevrolet,TAHOE,2013,2500,12591.0,10091.0,1.0
chevrolet,MALIBU,2018,2000,11804.0,9804.0,1.0
jeep,WRANGLER,2012,25000,13459.0,11541.0,0.01
nissan,ROGUE,2016,13495,10637.0,2858.0,0.01
ford,EXPLORER,2013,9495,9193.0,302.0,0.01
kia,SPORTAGE,2012,10995,7128.0,3867.0,0.01
ford,F250,2016,20900,16291.0,4609.0,0.01
bmw,X6,2016,23990,18839.0,5151.0,0.01
jeep,Wrangler,2011,14995,12031.0,2964.0,0.01
chevrolet,Traverse,2020,27281,21863.0,5418.0,0.01
nissan,Rogue,2022,25683,22850.0,2833.0,0.01
nissan,Rogue,2022,26893,22850.0,4043.0,0.01
chevrolet,Equinox,2018,18231,13650.0,4581.0,0.01
jeep,Wrangler,2016,22991,17562.0,5429.0,0.01
cadillac,CT5,2019,18895,39790.0,20895.0,1.0
dodge,Durango,2021,29286,28942.0,344.0,0.01
gmc,Terrain,2023,28490,31295.0,2805.0,0.12759024374304664
ford,F150,2012,16500,10142.0,6358.0,0.01
acura,TLX,2012,8500,46195.0,37695.0,1.0
volkswagen,Jetta,2015,7000,6507.0,493.0,0.01
chevrolet,Silverado 1500 Crew Cab,2018,29988,19976.0,10012.0,0.01
subaru,Ascent,2021,31495,25359.0,6136.0,0.01
cadillac,XT6,2020,38472,32138.0,6334.0,0.01
cadillac,XT5,2020,32995,26344.0,6651.0,0.01
chevrolet,Blazer,2021,31995,22997.0,8998.0,0.01
jeep,Grand Cherokee,2021,33486,24825.0,8661.0,0.01
chevrolet,Equinox,2020,24429,15811.0,8618.0,0.01
chevrolet,Equinox,2020,24495,15811.0,8684.0,0.01
honda,Civic,2020,19995,17134.0,2861.0,0.01
chevrolet,Suburban,2020,34995,34381.0,614.0,0.01
nissan,Pathfinder,2020,26299,20251.0,6048.0,0.01
nissan,Pathfinder,2023,45485,36655.0,8830.0,0.01
toyota,Highlander,2023,42968,37955.0,5013.0,0.01
chevrolet,Silverado 1500 Crew Cab,2018,23992,19976.0,4016.0,0.01
nissan,ROGUE,2015,2000,9494.0,7494.0,1.0
ford,ESCAPE,2018,14495,11600.0,2895.0,0.01
ford,Expedition,2014,17995,10139.0,7856.0,0.01
hyundai,Tucson,2019,18995,15457.0,3538.0,0.01
chevrolet,Colorado Crew Cab,2020,19995,23704.0,3709.0,0.3528598127291754
chevrolet,Silverado 1500 Crew Cab,2017,18995,18324.0,671.0,0.01
ford,F150,2012,17000,10142.0,6858.0,0.01
buick,Enclave,2014,13500,9799.0,3701.0,0.01
acura,TLX,2012,9000,46195.0,37195.0,1.0
cadillac,Escalade,2013,10000,15512.0,5512.0,1.0
ford,F150,2014,19000,11635.0,7365.0,0.01
ford,F250,2017,42897,19359.0,23538.0,0.01
gmc,Yukon,2018,33991,30819.0,3172.0,0.01
chevrolet,Equinox,2021,23459,16919.0,6540.0,0.01
ford,F150,2018,25402,15436.0,9966.0,0.01
gmc,Terrain,2016,27517,9122.0,18395.0,0.01
toyota,Highlander,2018,27224,22755.0,4469.0,0.01
ford,Bronco,2022,46995,38289.0,8706.0,0.01
dodge,Charger,2020,20995,22296.0,1301.0,0.06659380698862652
ford,Bronco,2023,54991,36785.0,18206.0,0.01
chevrolet,Silverado 1500 Crew Cab,2022,52992,31755.0,21237.0,0.01
toyota,RAV4,2013,2000,12421.0,10421.0,1.0
chevrolet,TAHOE,2013,3000,12591.0,9591.0,1.0
chevrolet,TAHOE,2013,16495,12591.0,3904.0,0.01
ford,Edge,2014,2000,8614.0,6614.0,1.0
chevrolet,Equinox,2014,2000,8100.0,6100.0,1.0
nissan,Rogue,2016,6500,10637.0,4137.0,1.0
ford,F350,2013,23800,14526.0,9274.0,0.01
ford,F250,2014,28440,13316.0,15124.0,0.01
nissan,Maxima,2011,4795,6172.0,1377.0,0.7548492783981648
ford,F350,2011,26999,10785.0,16214.0,0.01
infiniti,QX60,2015,14790,12098.0,2692.0,0.01
jeep,PATRIOT,2014,12995,6830.0,6165.0,0.01
nissan,TITAN,2018,28888,13662.0,15226.0,0.01
ford,F250,2017,38500,19359.0,19141.0,0.01
lexus,GX,2011,17805,17853.0,48.0,0.0013610761272854547
volkswagen,JETTA,2019,17895,13819.0,4076.0,0.01
toyota,CAMRY,2013,10895,9854.0,1041.0,0.01
infiniti,QX60,2019,19995,21781.0,1786.0,0.11634991623977525
gmc,YUKON,2013,17995,11501.0,6494.0,0.01
ford,F150,2018,27995,15436.0,12559.0,0.01
ford,F150,2022,59995,26757.0,33238.0,0.01
ford,F150,2018,29995,15436.0,14559.0,0.01
chevrolet,Silverado 2500 HD Crew Cab,2018,19900,26144.0,6244.0,0.7514724331622125
jeep,Wrangler,2015,22968,16585.0,6383.0,0.01
ford,F150,2018,28311,15436.0,12875.0,0.01
jeep,Wrangler,2016,29968,17562.0,12406.0,0.01
ford,Transit 350 Passenger Van,2019,38975,55715.0,16740.0,0.9433463595047454
gmc,Acadia,2023,29490,38195.0,8705.0,0.6361663360946632
chevrolet,Camaro,2022,35990,25206.0,10784.0,0.01
volkswagen,Atlas,2022,31995,27196.0,4799.0,0.01
chevrolet,Bolt EV,2022,31911,19363.0,12548.0,0.01
kia,Stinger,2023,50991,37865.0,13126.0,0.01
chevrolet,Colorado Crew Cab,2022,36495,27208.0,9287.0,0.01
toyota,Camry,2022,33491,23839.0,9652.0,0.01
chevrolet,Blazer,2020,26395,21493.0,4902.0,0.01
toyota,RAV4,2013,1500,12421.0,10921.0,1.0
ford,F350,2013,23800,14526.0,9274.0,0.01
ford,F250,2014,28440,13316.0,15124.0,0.01
chevrolet,Silverado 1500 Crew Cab,2019,32792,23404.0,9388.0,0.01
