source,title,price,location,odometer,image_count,anomaly_score,has_anomaly
facebook,ram laramie x diesel,4999.0,"Houston, TX",100000.0,1,0.18596239000029452,0
facebook,chevrolet silverado crew cab rst pickup ft,52888.0,"Houston, TX",17000.0,1,0.10085177902743259,0
facebook,nissan versa sedan,7500.0,"Houston, TX",42000.0,1,0.16429336849520748,0
facebook,toyota runner trd premium sport utility,43602.0,"Houston, TX",19000.0,1,0.1245762809579582,0
facebook,ford f super duty crew cab platinum pickup ft,79992.0,"Houston, TX",25000.0,1,0.05489800948335205,0
facebook,ford mustang gt coupe,4999.0,"Spring, TX",9000.0,1,0.030995813296170405,1
facebook,kia k lxs sedan,20929.0,"Houston, TX",68000.0,1,0.15092247425696403,0
facebook,ford bronco black diamond sport utility,42995.0,"Houston, TX",13000.0,1,0.12393566265303096,0
facebook,ford expedition xlt sport utility,38995.0,"Houston, TX",65000.0,1,0.13088074579512832,0
craigslist,ford f king ranch x diesel nav roof new wheels tires,39995.0,WWW.GETADIESEL.COM,122000.0,24,0.14230162498520027,0
craigslist,ford f platinum x diesel nav sunroof toy tires,33885.0,WWW.GETADIESEL.COM,194000.0,24,0.13864289252206835,0
facebook,ford expedition max platinum sport utility,33739.0,"Houston, TX",100000.0,1,0.1446137154822576,0
craigslist,ram x cummins neckover flatbed new tires,38885.0,WWW.GETADIESEL.COM,156000.0,24,0.14113540010860937,0
facebook,ford explorer st sport utility,45788.0,"Houston, TX",21000.0,1,0.1218959689428955,0
craigslist,ram x cummins back cam b w hitch tx truck,32999.0,WWW.GETADIESEL.COM,209000.0,24,0.13630659675498263,0
facebook,lincoln aviator black label grand touring sport utility,85488.0,"Houston, TX",11000.0,1,0.042989215628509436,1
craigslist,bmw x,9500.0,Abilene,141000.0,10,0.06327754725917423,0
facebook,volkswagen atlas cross sport sel motion sport utility,35588.0,"Houston, TX",53000.0,1,0.13865588271484158,0
craigslist,ford lariat x v leather nav leveled new,27990.0,WWW.GETADIESEL.COM,109000.0,23,0.1191502343549033,0
facebook,ford f supercrew cab king ranch pickup ft,32998.0,"Houston, TX",90000.0,1,0.14349622056540895,0
craigslist,ford xl x diesel skirted cm flatbed new tires,49999.0,WWW.GETADIESEL.COM,71000.0,24,0.10649685605121312,0
facebook,ford maverick lariat pickup ft,36888.0,"Houston, TX",9000.0,1,0.12789629559974452,0
craigslist,ford super duty platinum crew cab,79900.0,Ford F-450 Super Duty,78000.0,24,-0.0178812849770843,1
facebook,toyota camry xse,2500.0,"Houston, TX",83000.0,1,0.1799660885783036,0
facebook,nissan sentra,8200.0,"Houston, TX",107000.0,1,0.18476581416772508,0
craigslist,peterbilt,42900.0,Peterbilt 579 w/sleeper,627000.0,22,-0.03071784696102875,1
facebook,ford f supercrew cab fx pickup ft,,"Houston, TX",118000.0,1,0.17950933276122344,0
craigslist,ram power wagon x hemi nav winch ram boxes new,35995.0,WWW.GETADIESEL.COM,107000.0,24,0.14183774540922023,0
