manufacturer,model,year,price,kbb_price,price_difference,risk_level
gmc,Terrain,2015,8495,8092,403.0,Low Risk
ford,Edge,2012,5900,7199,1299.0,Low Risk
ford,F350,2014,29999,16934,13065.0,High Risk
ford,F250,2017,42897,21218,21679.0,High Risk
ford,F250,2014,39995,14463,25532.0,High Risk
ford,F250,2014,33885,14463,19422.0,High Risk
bmw,X5,2012,9500,8559,941.0,Low Risk
ford,F150,2015,27990,14080,13910.0,High Risk
ford,F350,2020,49999,45503,4496.0,Low Risk
ford,F250,2014,28885,14463,14422.0,High Risk
ford,F350,2014,31800,16934,14866.0,High Risk
ford,F150 SuperCrew Cab,2016,40000,19169,20831.0,High Risk
ford,F250,2016,42995,18184,24811.0,High Risk
ford,F150,2015,27999,14080,13919.0,High Risk
ford,F250,2017,43850,21218,22632.0,High Risk
ford,F150,2013,18995,10931,8064.0,Moderate Risk
chevrolet,TAHOE,2013,2500,13025,10525.0,High Risk
chevrolet,MALIBU,2018,2000,12779,10779.0,High Risk
jeep,WRANGLER,2012,25000,13924,11076.0,High Risk
nissan,ROGUE,2016,13495,9515,3980.0,Low Risk
ford,EXPLORER,2013,9495,9025,470.0,Low Risk
kia,SPORTAGE,2012,10995,7423,3572.0,Low Risk
ford,F250,2016,20900,18184,2716.0,Low Risk
bmw,X6,2016,23990,20590,3400.0,Low Risk
jeep,Wrangler,2011,14995,12699,2296.0,Low Risk
chevrolet,Traverse,2020,27281,23408,3873.0,Low Risk
nissan,Rogue,2022,25683,23513,2170.0,Low Risk
nissan,Rogue,2022,26893,23513,3380.0,Low Risk
chevrolet,Equinox,2018,18231,13813,4418.0,Low Risk
jeep,Wrangler,2016,22991,17992,4999.0,Low Risk
cadillac,CT5,2019,18895,39790,20895.0,High Risk
dodge,Durango,2021,29286,30291,1005.0,Low Risk
gmc,Terrain,2023,28490,31295,2805.0,Low Risk
ford,F150,2012,16500,10118,6382.0,Moderate Risk
acura,TLX,2012,8500,41245,32745.0,High Risk
volkswagen,Jetta,2015,7000,6659,341.0,Low Risk
chevrolet,Silverado 1500 Crew Cab,2018,29988,21149,8839.0,Moderate Risk
subaru,Ascent,2021,31495,25786,5709.0,Moderate Risk
cadillac,XT6,2020,38472,33491,4981.0,Low Risk
cadillac,XT5,2020,32995,26473,6522.0,Moderate Risk
chevrolet,Blazer,2021,31995,23626,8369.0,Moderate Risk
jeep,Grand Cherokee,2021,33486,26629,6857.0,Moderate Risk
chevrolet,Equinox,2020,24429,16081,8348.0,Moderate Risk
chevrolet,Equinox,2020,24495,16081,8414.0,Moderate Risk
honda,Civic,2020,19995,16568,3427.0,Low Risk
chevrolet,Suburban,2020,34995,34953,42.0,Low Risk
nissan,Pathfinder,2020,26299,20301,5998.0,Moderate Risk
nissan,Pathfinder,2023,45485,36655,8830.0,Moderate Risk
land rover,Freelander,2023,42968,4486,38482.0,High Risk
